GmlId,COD_EMERGE,DES_EMERGE,FEC_EMERGE,DES_FENOME,DES_FUENTE,DES_GRUPO_,COD_PROV,COD_DIST,DES_JUSTIF,COD_GRUPO_,COD_FENOME,FEC_REGIST,MES_REGIST,LOCALIDAD,EDANOS,AHUMANITAR,DES_DPTO,DES_PROV,DES_DIST,COD_DPTO,FEC_TERMIN,FEC_USUARI,X,Y,Shape;;;;;;;;
"SDE.Emergencias_2016.264,""00074759"",""SE REGISTRO DEFICIT HIDRICO EN EL DISTRITO DE CAPASO"",""2016-01-09 14:00:00"",""SEQUIA"",""SECRETARIO TECNICO DE DEFENSA CIVIL DISTRITAL DE CAPASO."",""METEOROLOGICOS, OCEANOGRAFICOS"",""05"",""02"",""CERRADO POR : COE-OP4 POR : LA EMERGENCIA VIENE SIENDO ATENDIDA POR LA DIRECCIÓN REGIONAL AGRARIA, EL PROGRAMA DE APOYO AL DESARROLLO RURAL ANDINO, PROYECTO ESPECIAL DE CAMELIDOS SUDAMERICANOS, AGRURURAL E INSTITUTO NACIONAL DE INNOVACIÓN AGRARIA, ASIM"",""03"",""008"",2016-02-09T00:00:00,2,1,3,0,""PUNO"",""EL COLLAO"",""CAPASO"",""21"",2016-02-23T00:00:00,2016-02-09T00:00:00,-69.74399,-17.18305,""POINT (-69.74399 -17.18304999999998)""";;;;;;;;
"SDE.Emergencias_2016.265,""00074920"",""INTENSAS PRECIPITACIONES PLUVIALES EN EL DISTRITO DE HUANCARANI"",""2016-01-09 15:00:00"",""PRECIPITACIONES - LLUVIA"",""JEFE DE LA OFICINA DE DEFENSA CIVIL DE LA MUNICIPALIDAD DISTRITAL DE HUANCARANI"",""METEOROLOGICOS, OCEANOGRAFICOS"",""11"",""05"",""CERRADO POR : COEN-17 POR : LA EMERGENCIA HA SIDO ATENDIDA."",""03"",""004"",2016-02-17T00:00:00,2,1,6,1,""CUSCO"",""PAUCARTAMBO"",""HUANCARANI"",""08"",2016-05-09T00:00:00,2016-02-17T00:00:00,-71.6155,-13.53373,""POINT (-71.6155 -13.53372999999999)""";;;;;;;;
"SDE.Emergencias_2016.266,""00074138"",""VIENTOS FUERTES AFECTAN LA ALOCALIDAD DE  TOTORABAMBA"",""2016-01-09 15:30:00"",""VIENTOS FUERTES"",""EL COE DISTRITAL DE DEFENSA CIVIL DE ANCO-HUALLO"",""METEOROLOGICOS, OCEANOGRAFICOS"",""06"",""02"",""CERRADO POR : COEN-18 POR : EL GORE APURÍMAC ATENDIO LA EMERGENCIA, SE PROCEDE AL CIERRE."",""03"",""010"",2016-01-14T00:00:00,1,1,2,3,""APURIMAC"",""CHINCHEROS"",""ANCO-HUALLO"",""03"",2016-12-26T00:00:00,2016-01-14T00:00:00,-73.66462,-13.53972,""POINT (-73.66462000000001 -13.53971999999999)""";;;;;;;;
"SDE.Emergencias_2016.267,""00074083"",""INCENDIO URBANO"",""2016-01-09 17:10:00"",""INCENDIO URBANO"",""PDDC DE ATE - JORGE SANTIBAÑEZ HINOSTROZA"",""TECNOLOGICOS"",""01"",""03"",""CERRADO POR : COE-OP7 POR : EMERGENCIA ATENDIDA POR EL GOBIERNO REGIONAL"",""05"",""011"",2016-01-11T00:00:00,1,1,2,0,""LIMA"",""LIMA"",""ATE"",""15"",2016-07-21T00:00:00,2016-01-11T00:00:00,-76.92421,-12.02572,""POINT (-76.92421000000002 -12.02571999999998)""";;;;;;;;
"SDE.Emergencias_2016.268,""00074167"",""INTENSA PRESIPITACION DE LLUVIAS Y GRANIZO EN LA LOCALIDAD DE SAN CRISTOBAL DE PACHACHIN"",""2016-01-09 17:20:00"",""PRECIPITACIONES - GRANIZO"",""SECRETARIO TECNICO DE DEFENSA CIVIL DE CANCHABAMBA"",""METEOROLOGICOS, OCEANOGRAFICOS"",""04"",""02"",""CERRADO POR : COEN-25 POR : Se atendió la emergencia con la entrega de la ayuda humanitaria,. Se procede al cierre."",""03"",""001"",2016-01-18T00:00:00,1,1,4,5,""HUÁNUCO"",""HUACAYBAMBA"",""CANCHABAMBA"",""10"",2016-01-18T00:00:00,2016-01-18T00:00:00,-77.13936,-8.83025,""POINT (-77.13936000000001 -8.830249999999978)""";;;;;;;;
"SDE.Emergencias_2016.269,""00074132"",""VIENTOS FUERTES AFECTAN LA LOCALIDAD DE QUEÑUAPAMPA"",""2016-01-09 18:30:00"",""VIENTOS FUERTES"",""EL COE PROVINCIAL DE DEFENSA CIVIL DE COTABAMBAS"",""METEOROLOGICOS, OCEANOGRAFICOS"",""05"",""04"",""CERRADO POR : COE-OP2 POR : Emergencia se cierra por falta de actualización de parte del usuario."",""03"",""010"",2016-01-13T00:00:00,1,1,2,0,""APURIMAC"",""COTABAMBAS"",""HAQUIRA"",""03"",2016-04-13T00:00:00,2016-01-13T00:00:00,-72.26568,-14.3019,""POINT (-72.26567999999998 -14.30189999999999)""";;;;;;;;
"SDE.Emergencias_2016.270,""00074895"",""INTENSAS LLUVIAS EN EL DISTRITO DE TUPAC AMARU"",""2016-01-09 19:00:00"",""PRECIPITACIONES - LLUVIA"",""PLATAFORMA DE DEFENSA CIVIL DEL DISTRITO DE TUPAC AMARU"",""METEOROLOGICOS, OCEANOGRAFICOS"",""05"",""08"",""CERRADO POR : COEN-17 POR : LA EMERGENCIA HA SIDO ATENDIDA."",""03"",""004"",2016-02-16T00:00:00,2,1,3,1,""CUSCO"",""CANAS"",""TUPAC AMARU"",""08"",2016-05-09T00:00:00,2016-02-16T00:00:00,-71.57522,-14.15323,""POINT (-71.57522 -14.15323000000001)""";;;;;;;;
"SDE.Emergencias_2016.271,""00074988"",""INTENSAS PRECIPITACIONES PLUVIALES EN EL DISTRITO DE ACOS"",""2016-01-09 21:00:00"",""PRECIPITACIONES - LLUVIA"",""JEFE DE DEFENSA CIVIL DE LA MUNICIPALIDAD DISTRITAL DE ACOS"",""METEOROLOGICOS, OCEANOGRAFICOS"",""02"",""03"",""CERRADO POR : COEN-17 POR : LA EMERGENCIA HA SIDO ATENDIDA"",""03"",""004"",2016-02-20T00:00:00,2,1,3,1,""CUSCO"",""ACOMAYO"",""ACOS"",""08"",2016-05-09T00:00:00,2016-02-20T00:00:00,-71.71813,-13.9416,""POINT (-71.71812999999997 -13.94159999999999)""";;;;;;;;
"SDE.Emergencias_2016.272,""00075309"",""INTENSAS LLUVIAS EN EL DISTRITO DE ACCHA"",""2016-01-10 01:00:00"",""PRECIPITACIONES - LLUVIA"",""JEFE DE LA OFICINA DE DEFENSA CIVIL DE LA MUNICIPALIDAD DISTRITAL DE ACCHA"",""METEOROLOGICOS, OCEANOGRAFICOS"",""10"",""02"",""CERRADO POR : COEN-17 POR : LA EMERGENCIA HA SIDO ATENDIDA."",""03"",""004"",2016-03-01T00:00:00,3,2,5,0,""CUSCO"",""PARURO"",""ACCHA"",""08"",2016-06-01T00:00:00,2016-03-01T00:00:00,-71.83087,-14.01523,""POINT (-71.83087 -14.01522999999997)""";;;;;;;;
"SDE.Emergencias_2016.539,""00075084"",""LA SEQUIA HA EFECTADO LA POTENCIALIDAD DE LA PRODUCCION DE LOS CULTIVOS DE PAN LLEVAR"",""2016-01-25 11:00:00"",""SEQUIA"",""TECNICO ESTADISTICO MIGUEL QUISPE HUANCHI DE LA AGENCIA AGRARIA DE YUNGUYO."",""METEOROLOGICOS, OCEANOGRAFICOS"",""13"",""05"",""CERRADO POR : COE-OP4 POR : LA EMERGENCIA FUE ATENDIDA ATRAVEZ DEL ACUERDO DE CONSEJO REGIONAL N° 022 – 2016 – GRP – CRP DEL 26 DE ENERO DEL 2016"",""03"",""008"",2016-02-24T00:00:00,2,4,8,0,""PUNO"",""YUNGUYO"",""OLLARAYA"",""21"",2016-03-14T00:00:00,2016-02-24T00:00:00,-69.00089,-16.23146,""POINT (-69.00089000000003 -16.23146000000003)""";;;;;;;;
