GmlId,COD_EMERGE,DES_EMERGE,FEC_EMERGE,DES_FENOME,DES_NOTA,DES_FUENTE,DES_GRUPO_,COD_PROV,COD_DIST,DES_JUSTIF,IND_TERMIN,DES_DANO,COD_GRUPO_,COD_FENOME,COD_USUARI,FEC_REGIST,MES_REGIST,LOCALIDAD,EDANOS,AHUMANITAR,DES_DPTO,DES_PROV,DES_DIST,COD_DPTO,NUM_ORDER,DES_IMAGEP,FEC_TERMIN,FEC_USUARI,NUM_POSX,NUM_POSY,IND_INC,Shape
SDE.Emergencias_2018.28,"00091367","INC URB JR HUANCAYO C LT 19 URB DULANTO","2018-01-01 18:55:00","INCENDIO URBANO"," ","GRDCDNYSC","TECNOLOGICOS","01","01","CERRADO POR : COEN-05 POR : SE PROCEDE AL CIERRE DE LA EMERGENCIA A SOLICITUD DEL GOBIERNO REGIONAL DEL CALLAO.","1","DAÑOS
PERSONALES: DAMNIFICADO HERIDO 
MATERIALES: DAÑOS SEVERO, PERDIDA DE TODOS LOS ENSERES, EN LAS HABITACIONES DE (MATERIAL MIXTO- MATERIAL NOBLE Y  MADERA) Y ARTEFACTOS DEL 1ER PISO
","05","011","CRDCCALLAO03",2018-01-23T00:00:00,1,1,2,6,"CALLAO","CALLAO","CALLAO","07",40,"incendiourbano.bmp",2018-02-27T00:00:00,2018-01-23T00:00:00,-77.14931,-12.06051,88697,"POINT (-77.14931000000001 -12.06051000000002)"
SDE.Emergencias_2018.29,"00090997","INCENDIO URBANO EN A H AMPLIACÓN NUEVA GENERACIÓN MZ G LT 6","2018-01-02 00:00:00","INCENDIO URBANO"," ","JEFE DE OFICINA DE DEFENSA CIVIL - MPS","TECNOLOGICOS","18","01","CERRADO POR : COEN-13 POR : SE PROCEDE AL CIERRE DE LA EMERGENCIA POR VENCIMIENTO EN LOS PLAZOS ESTABLECIDOS PARA LA ACTUALIZACION DE LA INFORMACION REGISTRADA EN EL SINPAD, DE ACUERDO A LO DISPUESTO EN LA LEY N° 29664 LEY DEL SISTEMA NACIONAL DE GESTIO","1","PÉRDIDA DE LA VIVIENDA,  ENSERES, DEJANDO CINCO (05)  DAMNIFICADOS A LA SRA. MARIA IPAAQUE OTINIANO Y SUS FAMILIARES.","05","011","CPDCSANTA04",2018-01-03T00:00:00,1,1,2,12,"ANCASH","SANTA","CHIMBOTE","02",40,"incendiourbano.bmp",2018-04-24T00:00:00,2018-01-03T00:00:00,-78.58431,-9.07593,88326,"POINT (-78.58431000000002 -9.075930000000028)"
SDE.Emergencias_2018.30,"00091003","INCENDIO EN UNA VIVIENDA EN AAHH SANTA ROSA","2018-01-02 03:00:00","INCENDIO URBANO"," ","LIONEL RICHIE LEON RODRIGUEZ - DEFENSA CIVIL DE PUENTE PIEDRA","TECNOLOGICOS","01","25","CERRADO POR : COEN-11 POR : SE PROCEDE A REALIZAR EL CIERRE DE LA EMERGENCIA A PEDIDO DE LA MUNICIPALIDAD DISTRITAL DE PUENTE PIEDRA","1","EN CUANTO A DAÑOS MATERIALES HAY UNA VIVIENDA DE MATERIAL NOBLE AFECTADA CON TECHO QUE ERA DE MATERIAL PRECARIO Y QUE FUE CONSUMIDO POR LAS LLAMAS EN SU TOTALIDAD, Y EN CUANTO A DAÑOS A LA SALUD HAY 6 PERSONAS DAMNIFICADOS.","05","011","CDDCPUENTEPIEDRA02",2018-01-04T00:00:00,1,1,3,6,"LIMA","LIMA","PUENTE PIEDRA","15",40,"incendiourbano.bmp",2018-01-18T00:00:00,2018-01-04T00:00:00,-77.1033,-11.8459,88332,"POINT (-77.10329999999999 -11.84589999999997)"
SDE.Emergencias_2018.31,"00091889","INCENDIO URBANO DESTRUYE VIVIENDA EN COMUNIDAD NATIVA CUSHILLO COCHA","2018-01-02 03:00:00","INCENDIO URBANO"," ","JEFE DE OFICINA DE DEFENSA CIVIL DE MUNICIPALIDAD PROVINCIAL DE MARISCAL RAMON CASTILLA","TECNOLOGICOS","04","01","CERRADO POR : COEN-09 POR : SE PROCEDE AL CIERRE DE LA EMERGENCIA POR VENCIMIENTO EN LOS PLAZOS ESTABLECIDOS PARA LA ACTUALIZACION DE LA INFORMACION REGISTRADA EN EL SINPAD, DE ACUERDO A LO DISPUESTO EN LA LEY N° 29664 LEY DEL SISTEMA NACIONAL DE GESTIO","1","*01 VIVIENDA DESTRUIDA AL 100%.
*01 FAMILIA DAMNIFICADA.
*06 PERSONAS DAMNIFICADAS.","05","011","CRDCLORETO03",2018-02-16T00:00:00,2,1,2,25,"LORETO","M. R. CASTILLA","RAMON CASTILLA","16",40,"incendiourbano.bmp",2018-03-27T00:00:00,2018-02-16T00:00:00,-70.39501,-4.03782,89223,"POINT (-70.39501000000001 -4.037820000000011)"
SDE.Emergencias_2018.32,"00091005","INCENDIO URBANO POR CAUSA DESCONOCIDA","2018-01-02 09:59:00","INCENDIO URBANO"," ","ALEXANDER CASTILLO DOMINGUEZ","TECNOLOGICOS","01","03"," ","0","Damnificados (04): 01.-TARCILA ILLESCAS CHALCO (37).  02.-DIEGO ARMANDO LEON ILLESCAS(13). 03.-OSCAR ABRAHAM SUYA ILLESCAS (09). 04.- REYNA JANET BAILON ILLESCAS (04).","05","011","CDDCATE02",2018-01-04T00:00:00,1,1,2,0,"LIMA","LIMA","ATE","15",40,"incendiourbano.bmp",,2018-01-04T00:00:00,-76.92421,-12.02572,88334,"POINT (-76.92421000000002 -12.02571999999998)"
SDE.Emergencias_2018.33,"00091026","PERDIDA DE PLATAFORMA DE CARRETERA","2018-01-02 10:00:00","DESLIZAMIENTO"," ","CESAR A. BENDEZU UGARTE","GEODINAMICA EXTERNA","09","02","CERRADO POR : COEN-04 POR : SE PROCEDE AL CIERRE DE LA EMERGENCIA A SOLICITUD DEL GOBIERNO REGIONAL DE CUSCO Y CON CONOCIMIENTO DE LA MUNICIPALIDAD PROVINICIAL DE LA CONVENCION Y LA MUNICIPALIDAD DISTRITAL DE ECHARATE","1","PERDIDA DE PLATAFORMA APROXIAMDAMENTE 50 ML. POR EROSION","02","006","CDDCECHARATE02",2018-01-04T00:00:00,1,1,1,0,"CUSCO","LA CONVENCION","ECHARATE","08",10,"deslizamiento.bmp",2018-04-05T00:00:00,2018-01-04T00:00:00,-72.87098,-12.34191,88355,"POINT (-72.87097999999998 -12.34190999999998)"
SDE.Emergencias_2018.1,"00090984","INCENDIO DOMESTICO","2018-01-01 00:30:00","INCENDIO URBANO"," ","RESPONSABLE OFICINA DEFENSA CIVIL","TECNOLOGICOS","06","01"," ","0","el incendio afecto la vivienda de madera, con perdida de sus prendas de vestir, cama, frazadas ,útiles  de cocina y otros, dejando la vivienda inhabitable.","05","011","CPDCSATIPO02",2018-01-02T00:00:00,1,1,1,15,"JUNIN","SATIPO","SATIPO","12",40,"incendiourbano.bmp",,2018-01-02T00:00:00,-74.6359,-11.2486,88313,"POINT (-74.63589999999999 -11.24860000000001)"
SDE.Emergencias_2018.2,"00090983","INCENDIO EN VIVIENDA DE MATERIAL RUSTICO","2018-01-01 00:30:00","INCENDIO URBANO"," ","SERENAZGO DE  ANCON","TECNOLOGICOS","01","02","CERRADO POR : COEN-11 POR : SE PROCEDE AL CIERRE DE LA EMERGENCIA A PEDIDO DE LA MUNICIPALIDAD DISTRITAL DE ANCON","1","01 VIVIENA COLAPSADA
00 DAÑOS CONTRA LA VIDA Y LA SALUD
00 AFECTACION A VIVIENDAS ALEDAÑAS","05","011","CDDCANCON02",2018-01-01T00:00:00,1,1,2,6,"LIMA","LIMA","ANCON","15",40,"incendiourbano.bmp",2018-01-16T00:00:00,2018-01-01T00:00:00,-77.17051,-11.77662,88312,"POINT (-77.17050999999998 -11.77661999999998)"
SDE.Emergencias_2018.3,"00091697","INCENDIO EN CP PURURCO DIST JAMALCA PROV UTCUBAMBA REG AMAZONAS","2018-01-01 00:30:00","INCENDIO URBANO"," ","PLATAFORMA DISTRITAL DE DEFENSA CIVIL DE JAMALCA","TECNOLOGICOS","07","05","CERRADO POR : COEN-18 POR : LA EMERGENCIA FUE ATENDIDA, SE PROCEDE AL CIERRE  CORRESPONDIENTE  SIN LAS  PLANILLAS DE ENMPADRONAMIENTO A SOLICITUD DEL INTERESADO							

","1","01 VIVIENDA INHABITABLE","05","011","CRDCAMAZONAS04",2018-02-09T00:00:00,2,1,2,9,"AMAZONAS","UTCUBAMBA","JAMALCA","01",40,"incendiourbano.bmp",2018-04-04T00:00:00,2018-02-09T00:00:00,-78.26351,-5.91209,89029,"POINT (-78.26351 -5.912089999999978)"
SDE.Emergencias_2018.4,"00091032","INCENDIO URBANO POR PROBABLE EXPLOSION DE FUEGO PIROTECNICO","2018-01-01 00:40:00","INCENDIO URBANO"," ","ALEXANDER CASTILLO DOMINGUEZ","TECNOLOGICOS","01","03"," ","0","Damnificados (05):  01.- LUIS CHIROQUE CASTRO YUPTON(33) DNI N° 42787901. 02.-TARYN SORAYA MENA POMASONJO(43) DNI N° 20567194  03.- OSWALDO TIOTINO MENA MARTINEZ(85)  04.GREYS SOLANGE CAVERO MENA(15)  05.- LUIS ANDRES CASTRO MENA(04)","05","011","CDDCATE02",2018-01-05T00:00:00,1,1,2,0,"LIMA","LIMA","ATE","15",40,"incendiourbano.bmp",,2018-01-05T00:00:00,-76.92421,-12.02572,88361,"POINT (-76.92421000000002 -12.02571999999998)"
